applicants,apply_type,base_salary,company_address_type,company_country,company_employees_on_linkedin,company_followers_on_linkedin,company_founded,company_headquarters,company_id,company_industry,company_locality,company_name,company_organization_type,company_postal_code,company_region,company_size,company_slogan,company_specialties,company_street,employment_type,industries,job_function,location,posted_datetime,seniority_level,title,skills
29 applicants,External Apply,,,,14,113,,,96644436,Financial Services,,Logistics Management Institute,Public Company,,,2-10 employees,,,,Full-time,Financial Services,Engineering and Information Technology,"Vienna, VA",18/01/2025 4:49,Internship,Junior Data Scientist,"['python', 'sql', 'power bi', 'tableau', 'data visualization', 'statistics', 'database']"
113 applicants,Easy Apply,,PostalAddress,US,6,10587,2008,"Minneapolis, MN",2227668,Staffing and Recruiting,Minneapolis,Talencio,Privately Held,55401,MN,11-50 employees,"Providing talent services for the health technology industry: medical device, biotech, pharmaceutical & digital health.","MedTech, BioTech & Pharmaceutical, Healthcare, Staffing, Recruiting, Pharmaceutical, Biotechnology, Medical Device Recruitment, Medical Device Executive Search, Medical Device Talent Acquisition, Pharmaceutical Recruitment, Pharmaceutical Executive Search, Pharmaceutical Talent Acquisition, Health Technology Recruitment, Health Technology Executive Search, Health Technology Talent Acquisition, Digital Health Recruitment, Digital Health Executive Search, Digital Health Talent Acquisition, Medical Device Search, Pharmaceutical Search, Health Technology Search, and Funding Search",706 N 1st St.,Contract,Biotechnology Research and Non-profit Organizations,Science and Research,United States,,Entry level,Junior Scientist,[]
Over 200 applicants,External Apply,,PostalAddress,US,8307,57869,1894,"Dallas, Texas",13285,Hospitals and Health Care,Dallas,Parkland Health,Government Agency,75235,Texas,"10,001+ employees","Patient care is more than our job. It is our passion. We will advance wellness, relieve suffering, develop and educate. ","Level I Trauma Center, Burn Center, Neonatal Intensive Care, Community Oriented Primary Care, Spinal Cord Injuries, Endocrinology, Epilepsy Center, Cardiology, Oncology, Women's and Children's Services, Gastroenterology Lab, Orthopedics, and Correctional Health",5200 Harry Hines Blvd.,Full-time,Hospitals and Health Care,Information Technology,"Dallas, TX",18/01/2025 0:40,Entry level,Data Analyst,"['excel', 'aws', 'database']"
161 applicants,External Apply,,PostalAddress,US,25874,1074839,1983,"Hanover, MD",2152,IT Services and IT Consulting,Hanover,TEKsystems,Privately Held,21076,MD,"10,001+ employees",Partners in Transformation,"IT Services, IT Talent Management Expertise, Staffing Services, Digital Services, Advisory Services, Co-led Services, Enterprise Services, DevOps and Automation, Risk & Security, Cloud Enablement and Migration, Enterprise Applications, Telecom Design and Implementation, and Technology Operations",7437 Race Road,Contract,IT Services and IT Consulting,Administrative,"Jacksonville, FL",18/01/2025 1:21,Entry level,100% Remote - Healthcare Data Entry,['excel']
Be among the first 25 applicants,External Apply,"$173,000.00/yr - $242,000.00/yr",PostalAddress,US,121632,10769806,,"Menlo Park, CA",10667,Software Development,Menlo Park,Meta,Public Company,94025,CA,"10,001+ employees",,"Connectivity, Artificial Intelligence, Virtual Reality, Machine Learning, Social Media, Augmented Reality, Marketing Science, Mobile Connectivity, Open Compute, and Metaverse",1 Hacker Way,Full-time,"Technology, Information and Internet",Information Technology,"Menlo Park, CA",16/01/2025 0:00,Not Applicable,"Data Engineering Manager, Analytics (Data Infrastructure)","['python', 'sql', 'machine learning', 'hadoop', 'data visualization', 'data warehouse']"
53 applicants,External Apply,,PostalAddress,US,1533,3222,2013,"Charlottesville, Virginia",10463654,Hospitals and Health Care,Charlottesville,"Care Hospice, Inc.",Privately Held,22903,Virginia,"1,001-5,000 employees",Combining local passion with the benefits of a national organization,Hospice,500 Faulconer Dr,Full-time,Hospitals and Health Care,Information Technology,"Charlottesville, VA",18/01/2025 1:00,Mid-Senior level,Data Analyst,"['sql', 'excel', 'tableau', 'data visualization']"
Be among the first 25 applicants,External Apply,,PostalAddress,NO,92,16654,2018,"Oslo, Oslo",11855072,Software Development,Oslo,Dune,Privately Held,0,Oslo,11-50 employees,"Crypto’s Data Platform. Organized, decoded, and human-readable blockchain data across 100+ chains.",,Oslo,Full-time,Software Development,Other,United States,,Mid-Senior level,Customer Success Lead (Crypto),[]
97 applicants,External Apply,,PostalAddress,US,10,48,,"Saint Paul, Minnesota",10286305,Non-profit Organizations,Saint Paul,Middle Management Association,Nonprofit,55103,Minnesota,2-10 employees,,,525 PARK ST,Full-time,Non-profit Organizations,Other,United States,,Entry level,Administrative Data Clerk,"['excel', 'database']"
Be among the first 25 applicants,External Apply,,PostalAddress,US,299,49626,2005,New York,354816,Online Media,New York,Bisnow,Privately Held,,,51-200 employees,"Informing, connecting and advancing the commercial real estate community to do more business.","Association/Entrepreneur, Event Production, E-Publications, Technology, Networking, Educational, Events, Conferences, Recruitment Services, Advertising Solutions, News, Commercial Real Estate, Newsletters, and Dealmaking",123 William St,Full-time,Online Media,Finance and Sales,"Virginia Beach, VA",18/01/2025 20:18,Not Applicable,Commercial Asset Manager,['excel']
Be among the first 25 applicants,External Apply,,PostalAddress,US,10,4949,,"San Francisco, CA",100901807,Business Consulting and Services,San Francisco,Amplytics,Privately Held,,CA,11-50 employees,Amplify your analytics and see beyond the numbers.,,,Full-time,Business Consulting and Services,Information Technology,"Alameda, CA",18/01/2025 14:46,Mid-Senior level,Data Visualization Consultant,"['sql', 'excel', 'power bi', 'tableau', 'data visualization']"
40 applicants,Easy Apply,,PostalAddress,IN,22827,1078547,,"Gurgaon, Haryana",18583501,"Technology, Information and Internet",Gurgaon,Stealth Startup,Privately Held,122001,Haryana,11-50 employees,"Helping Stealth Startups to Launch, Hire & Scale.",,,Part-time,"Technology, Information and Internet and Software Development",Management,United States,,Executive,Chief Operating Officer,['excel']
126 applicants,Easy Apply,,PostalAddress,US,1375,298055,2007,"Clive, Iowa",2736308,Information Technology & Services,Clive,ATC,Privately Held,50325,Iowa,201-500 employees,"SAFe Gold Implementation Partner | AI & Intelligence (we build PoCs with our AI framework) | SaaS product Development
 ","Contract Opportunities, IT Staffing, Mobile Application Development, Managed Services, Security Testing, Performance Testing, Devops Engineering, SAFE, bots, Robotic Process Automation, AI, artificial intelligence, SAFe Training, AGILE Training, Product Development, SaaS product developoment, DevOps POD, Testing POD, Security Testing, Federal, UX, and UI",12951 University Ave,Full-time,IT Services and IT Consulting,Information Technology,"Connecticut, United States",18/01/2025 12:46,Entry level,Data Analyst-CT,"['python', 'sql', 'excel', 'power bi', 'tableau', 'data visualization', 'database']"
Be among the first 25 applicants,External Apply,$17.00/yr - $20.00/yr,PostalAddress,US,1316,20635,1978,"New York, NY",233394,Government Administration,New York,NYC Department of Housing Preservation & Development,Government Agency,10038,NY,"1,001-5,000 employees",,"Affordable Housing, Architecture and Planning, Real Property Management, Economic Development, Code Enforcement, and Financial Assistance",100 Gold Street,Full-time,Government Administration,Information Technology,"New York, NY",18/01/2025 16:25,Internship,Data & Process Automate Intern,"['excel', 'power bi', 'aws', 'power platform', 'power automate']"
179 applicants,External Apply,"$115,000.00/yr - $185,000.00/yr",PostalAddress,US,5636,688100,2000,New York,26945,Business Consulting and Services,New York,Fractal,Privately Held,,,"1,001-5,000 employees",,"Marketing Analytics, Advanced Analytics, Forecasting, Customer Lifetime Value, Pricing & Promotions Optimization, Consumer Insights, Customer Lifecycle Management, Customer Analytics, Predictive Analytics, Artificial Intelligence, Machine Learning, Integrated Marketing Effectiveness, Data Science, behavioral science, design thinking, and data engineering","Suite 76J, One World Trade Center",Full-time,Business Consulting and Services,Engineering and Information Technology,"California, United States",18/01/2025 3:29,Mid-Senior level,Data Scientist,"['python', 'machine learning', 'deep learning', 'aws', 'azure', 'hadoop', 'spark', 'data analytics', 'statistics', 'big data']"
Be among the first 25 applicants,External Apply,,PostalAddress,US,10,4949,,"San Francisco, CA",100901807,Business Consulting and Services,San Francisco,Amplytics,Privately Held,,CA,11-50 employees,Amplify your analytics and see beyond the numbers.,,,Full-time,Business Consulting and Services,Information Technology,"Sunnyvale, CA",18/01/2025 14:46,Mid-Senior level,Data Visualization Consultant,"['sql', 'excel', 'power bi', 'tableau', 'data visualization']"
25 applicants,External Apply,,PostalAddress,US,133125,927869,1979,"Atlanta, Georgia",1534,Retail,Atlanta,The Home Depot,Public Company,30339,Georgia,"10,001+ employees",careers.homedepot.com,"retail, home improvement, and customer service",2455 Paces Ferry Road,Full-time,Consumer Services,Other,"Atlanta, GA",18/01/2025 9:13,Not Applicable,Supply Chain Data Scientist,"['python', 'sql', 'excel', 'tableau', 'data visualization', 'data analytics', 'statistics', 'nlp']"
Be among the first 25 applicants,External Apply,"$82,620.00/yr - $144,000.00/yr",PostalAddress,US,18117,101688,,"Los Angeles, California",407141,Outsourcing and Offshoring Consulting,Los Angeles,VXI Global Solutions,Privately Held,90071,California,"10,001+ employees",,"Operations Management, Customer Interaction Services, Digital, OmniChannel Support, CX Consulting, Customer Experience Management, NPS Management, BPO, ITO, Product Development, Embedded Solutions, Outsourcing, Offshoring, Customer Care, CX, Customer Experience, Call Center, and Agents",515 S Figueroa St,Full-time,Outsourcing and Offshoring Consulting,Finance and Sales,"Chicago, IL",18/01/2025 5:22,Mid-Senior level,Fraud Analyst,"['sql', 'excel', 'aws']"
143 applicants,Easy Apply,$60.00/hr - $62.00/hr,PostalAddress,US,1451,480945,2001,"Newark, CA",30324,IT Services and IT Consulting,Newark,Intelliswift - An LTTS Company,Privately Held,94560,CA,"1,001-5,000 employees",The future belongs to those who Love the New!,"Enterprise Applications, Mobility / Collaboration, Big Data / Business Intelligence, Cloud Solutions, Quality Assurance, Web Solutions, Digital Transformation, Product Engineering, Technology Solutions, Digital Product Engineering, Digital Enterprise, Snowflake, Oracle NetSuite, Apigee, Digital Integration, Data Management & Analytics, Digital Assurance, Extended Engineering Services , AI/ML, Business Process Automation, TIBCO, salesforce, artificial intelligence, and Smartsheet",39600 Balentine Dr.,Contract,"Computers and Electronics Manufacturing and Appliances, Electrical, and Electronics Manufacturing",Engineering,United States,,Mid-Senior level,Data Annotation Analyst,"['python', 'sql']"
Be among the first 25 applicants,External Apply,,PostalAddress,US,10,4949,,"San Francisco, CA",100901807,Business Consulting and Services,San Francisco,Amplytics,Privately Held,,CA,11-50 employees,Amplify your analytics and see beyond the numbers.,,,Full-time,Business Consulting and Services,Information Technology,"San Mateo, CA",18/01/2025 14:46,Mid-Senior level,Data Visualization Consultant,"['sql', 'excel', 'power bi', 'tableau', 'data visualization']"
Be among the first 25 applicants,External Apply,,PostalAddress,US,10,4949,,"San Francisco, CA",100901807,Business Consulting and Services,San Francisco,Amplytics,Privately Held,,CA,11-50 employees,Amplify your analytics and see beyond the numbers.,,,Full-time,Business Consulting and Services,Information Technology,"San Jose, CA",18/01/2025 14:46,Mid-Senior level,Data Visualization Consultant,"['sql', 'excel', 'power bi', 'tableau', 'data visualization']"
Be among the first 25 applicants,External Apply,,PostalAddress,US,10,4949,,"San Francisco, CA",100901807,Business Consulting and Services,San Francisco,Amplytics,Privately Held,,CA,11-50 employees,Amplify your analytics and see beyond the numbers.,,,Full-time,Business Consulting and Services,Information Technology,"Santa Clara, CA",18/01/2025 14:46,Mid-Senior level,Data Visualization Consultant,"['sql', 'excel', 'power bi', 'tableau', 'data visualization']"
99 applicants,External Apply,,PostalAddress,US,4590,65965,1866,"Queens, New York",245926,Hospitals and Health Care,Queens,NYC Department of Health and Mental Hygiene,Government Agency,10013,New York,"5,001-10,000 employees",Promoting and protecting the health of all New Yorkers.,,42-09 28th Street,Full-time,Hospitals and Health Care,Information Technology,"Queens, NY",18/01/2025 17:52,Entry level,Data Analyst,"['sql', 'excel', 'tableau', 'data visualization', 'database']"
Over 200 applicants,Easy Apply,"$162,000.00/yr - $180,000.00/yr",PostalAddress,US,570,31509,2017,"San Francisco, California",17981957,Mental Health Care,San Francisco,Two Chairs,Privately Held,,California,"501-1,000 employees","Redefining mental health care to be centered in relationships, backed by research, and powered by thoughtful technology.","Measurement-Based Care , Matching clients and clinicians , Hybrid care (in-person and virtual) , Time-limited care , Clinical community , Transtheoretical work with specialties in EMDR, CBT, ACT, Psychodynamic and more , Depressive disorders , Anxiety disorders , Adjustment Disorders , Trauma-related disorders , Psychosocial , Bipolar and related disorders , Neurodevelopmental , Alcohol, Eating disorders , Disorders in remission, and Obsessive-compulsive",311 California St,Full-time,Mental Health Care,Information Technology,United States,,Entry level,Data Engineer,"['python', 'sql', 'gcp', 'data warehouse']"
